Уровень,Дата и время,Источник,Код события,Категория задачи
Сведения,04.12.2019 10:49:51,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,04.12.2019 10:47:46,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,04.12.2019 9:33:54,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,04.12.2019 9:31:46,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,04.12.2019 8:28:17,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения,04.12.2019 8:24:57,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения,04.12.2019 7:41:05,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Предупреждение,04.12.2019 7:38:51,Microsoft-Windows-WLAN-AutoConfig,4003,Отсутствует,"Служба автонастройки WLAN обнаружила ограниченные возможности подключения, выполняется попытка автоматического восстановления.

Тип восстановления: 4
Код ошибки: 0x0
Причина активации: 5
Семейство IP: 0
"
Ошибка,04.12.2019 7:38:34,NetBT,4321,Отсутствует,"Имя ""WORKGROUP      :1d"" не удалось зарегистрировать на интерфейсе с IP-адресом 192.168.0.200. Компьютер с IP-адресом 192.168.0.125 не разрешил использовать имя, запрошенное этим компьютером."
Предупреждение,04.12.2019 7:38:32,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени emupdate.avcdn.net истекло после отсутствия ответа от настроенных серверов DNS.
Сведения,04.12.2019 7:38:17,Service Control Manager,7040,Отсутствует,"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Предупреждение,04.12.2019 7:38:15,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени client.wns.windows.com истекло после отсутствия ответа от настроенных серверов DNS.
Предупреждение,04.12.2019 7:38:14,Microsoft-Windows-DNS-Client,1014,(1014),Разрешение имен для имени settings-win.data.microsoft.com истекло после отсутствия ответа от настроенных серверов DNS.
